Countries,Continents,The United Nations,Parlament,The Government,The Political Parties,The Press,Armed Forces,Television,Churches
Argentina,South America,19.3,13,36.9,7.6,35.3,30.5,32.5,54.7
Australia,Oceania,43.9,33.4,38.9,13.6,11.3,82.5,17.9,37.8
Brazil,South America,46,24.6,45.9,20.8,43,69.1,41.4,77.2
Bulgaria,Europe,51.9,20.3,33.2,16.7,48.3,68.1,66.3,58.1
Canada,North America,54.4,35.8,36.7,22.2,33,69,31.9,57.4
Chile,South America,37.9,23.6,45.9,17.4,44.2,57.5,46.7,69.1
Colombia,South America,46.7,24.1,50.3,19,43.9,59.9,47.1,80
Finland,Europe,62.6,55.6,63.6,27.8,33.2,87.5,51.5,63.4
France,Europe,54.3,34.8,28.9,16.2,38.4,67.4,34.4,45.8
Germany,Europe,35.8,21.1,22.7,12.4,28.7,46.3,33.5,35.3
Hungary,Europe,53.7,16.9,16.4,9,21.1,37.7,32.6,45.8
India,Asia,25.6,46.9,44,37,63,70.5,51.3,74.4
Iran,Asia,37.1,40.7,48.3,19.6,28.6,57.2,44.2,74.6
Italy,Europe,55.5,31.8,25.8,16.1,24.7,67,17.1,73.8
Japan,Asia,52.2,21.4,29.1,16.8,72.5,69.9,67.4,8.4
Jordan,Asia,32.1,56.2,82.8,26.3,66,94,66.9,91.8
South Korea,Asia,55.2,26.2,45.6,24.2,64.2,52,66.8,48.9
Mexico,North America,51,25,43.9,23.5,49.1,62.5,46.3,70
Morocco,Africa,16.1,41.7,52.5,32.9,44.3,66,54.6,90.3
Netherlands,Europe,35.5,28.4,26.7,22.5,31.9,42.3,36.3,27
Norway,Europe,84,61.9,53.7,28.3,36,64.9,48.7,50.1
Peru,South America,27,7.5,11.5,4.5,18.3,21.9,18.5,51.7
Poland,Europe,40.7,11.2,16.6,6.5,35.9,63.6,38,71.8
Serbia,Europe,25.6,19.9,24.8,12.5,20.5,50.5,18.3,59.4
South Africa,Africa,47.3,63.7,69.4,42.2,57.4,61.2,71.2,84.2
Spain,Europe,56.4,49.1,44.2,27.6,40.5,51.4,33.9,32
Sweden,Europe,77.2,55,42,32.6,32.8,45.7,54.3,54.9
Switzerland,Europe,48.5,51.6,65.1,24.9,35,49.9,34.1,44.2
Thailand,Asia,29.1,32.6,38.5,23.2,43.8,51.3,47.4,69.3
Turkey,Asia,28.3,58.3,61.7,32.9,30.5,85.1,32.7,70.4
United States,North America,32.5,19.5,36.8,14.7,23.1,79.8,24.5,64.1
Great Britain,Europe,38.9,34.4,32.4,16.7,13.3,75.7,30.4,41.8
